"","Compartment_ss","avg_loss_c2","all_molecules_lost_c2","numberProtWithLoss_c2","total_molecules_compartment_c2","avg_molecules_compartment_c2","avg_loss_allLoss","all_molecules_lost_allLoss","numberProtWithLoss_allLoss","total_molecules_compartment_allLoss","avg_molecules_compartment_allLoss","numberProtWithLoss","total_molecules_compartment","avg_molecules_compartment","Compartment_ss2","percent_loss_c2","percent_loss_allProt"
"1","Cytosol",2703.47245189486,540694.490378972,200,6390731.62836505,31953.6581418253,8175.67485464134,12884863.5709147,1576,150880324.772154,95736.2466828387,2843,372006691.592802,130850.04980401,"Cytosol",0.145345366790019,3.46361069897595
"2","Endosome",8167.4399134189,155181.358354959,19,1451345.78415749,76386.6202188154,4114.28067566141,292113.92797196,71,2593970.73359908,36534.7990647757,115,3587541.59487057,31196.0138684398,"Endosome",4.3255626241891,8.14245410811742
"3","ER",7230.32227798184,383207.080733037,53,4715707.97370077,88975.6221452976,6855.38349473435,1405353.61642054,205,11296702.6654264,55105.8666606164,248,14021162.0386008,56536.9437040355,"ER",2.7330622075264,10.023089473979
"4","Golgi.membrane",1777.48145334619,85319.109760617,48,770914.180033923,16060.7120840401,1571.56692973248,108438.118151541,69,861494.197958621,12485.4231588206,82,1280774.90445506,15619.206151891,"Golgi 
 Membrane",6.66152260353026,8.46660234943306
"5","Golgi.membrane.associated",2067.51568148675,39282.7979482482,19,490948.08891561,25839.3731008216,3901.50076992202,245794.548505087,63,1561978.08650278,24793.3029603616,87,1875741.90891693,21560.2518266314,"Golgi 
 Associated",2.09425389289992,13.1038575902487
"6","Lysosome",2399.47788807963,23994.7788807963,10,356698.445154471,35669.8445154471,4157.89782371817,253631.767246808,61,1440214.19768699,23610.0688145408,84,2073960.66399083,24690.0079046527,"Lysosome",1.15695438671552,12.2293431910495
"7","Mitochondria",1204.89326185994,15663.6124041793,13,190860.922725769,14681.6094404438,8351.31429694091,2338368.00314346,280,19630040.5977071,70107.287848954,530,45665488.3221004,86161.2987209442,"Mitochondria",0.0343007662453894,5.12064600437388
"8","Nucleus",763.689387952003,10691.651431328,14,175537.210212932,12538.3721580666,5644.039162896,3363847.34108602,596,29849568.375922,50083.1684159764,1310,349774746.657401,267003.623402596,"Nucleus",0.00305672480174801,0.961718183840429
"9","Peroxisome",2116.8480290064,10584.240145032,5,108460.868356792,21692.1736713584,3412.87143668458,105799.014537222,31,581208.911781602,18748.6745736001,33,586475.372271861,17771.9809779352,"Peroxisome",1.80472030803804,18.0398051715936
"10","Plasma.Membrane",2292.63629623692,18341.0903698954,8,97718.3507177189,12214.7938397149,3614.87509055896,289190.007244717,80,1900203.83991799,23752.5479989748,129,2672750.14434446,20718.9933670113,"Plasma 
 Membrane",0.68622540003244,10.8199416940129
